"V1"	"V4.quant.0.01"	"V4.quant.0.05"	"V4.quant.0.1"	"V4.quant.0.25"	"V4.quant.median"	"V4.quant.0.75"	"V4.quant.0.9"	"V4.quant.0.95"	"V4.quant.0.99"
"1"	"Ob_ERR2008849"	  0	  0	  0	  5	 19	 31	 41	 50	 80
"2"	"Ob_ERR2008850"	  0	  0	  0	  4	 15	 25	 34	 41	 65
"3"	"Ob_ERR2008851"	  0	  0	  0	  4	 15	 26	 35	 42	 67
"4"	"Ob_ERR2008852"	  0	  0	  1	  5	 19	 31	 40	 48	 77
"5"	"Ob_ERR2008853"	  0	  0	  0	  4	 14	 22	 30	 36	 57
"6"	"Ob_ERR2008855"	  0	  0	  1	  7	 25	 40	 52	 64	104
"7"	"Ob_ERR2008856"	  0	  0	  0	  4	 17	 29	 38	 46	 74
"8"	"Ob_ERR2008857"	  0	  0	  0	  6	 22	 35	 45	 56	 89
"9"	"Ob_ERR2008858"	  0	  0	  0	  6	 22	 35	 45	 56	 90
"10"	"Ob_ERR2008859"	  0	  0	  1	  6	 24	 38	 50	 61	 98
"11"	"Ob_ERR2008860"	  0	  0	  1	  6	 22	 35	 44	 54	 87
"12"	"Ob_ERR2008861"	  0	  0	  0	  6	 21	 33	 42	 52	 83
"13"	"Ob_ERR2008862"	  0	  0	  0	  6	 21	 33	 43	 53	 86
"14"	"Ob_ERR2008863"	  0	  0	  1	  6	 23	 36	 46	 57	 90
"15"	"Ob_ERR2008884"	  0	  0	  0	  3	 13	 22	 30	 37	 58
"16"	"Ob_ERR2008894"	  0	  0	  0	  4	 15	 25	 33	 40	 64
"17"	"Ob_ERR2008910"	  0	  0	  0	  4	 16	 26	 35	 42	 68
"18"	"Ob_ERR2008914"	  0	  0	  0	  4	 15	 26	 34	 42	 66
"19"	"Ob_ERR2009084"	  0	  0	  0	  5	 19	 33	 43	 51	 82
"20"	"Ob_ERR2009085"	  0	  0	  0	  4	 15	 26	 34	 41	 64
"21"	"Ob_ERR2009086"	  0	  0	  0	  5	 18	 29	 38	 45	 72
"22"	"Ob_ERR2009090"	  0	  0	  0	  4	 16	 26	 35	 41	 65
"23"	"Ob_ERR2009096"	  0	  0	  0	  5	 18	 31	 40	 49	 78
"24"	"Og_ERR2008921"	  0	  0	  0	  5	 19	 32	 42	 51	 82
"25"	"Og_ERR2008922"	  0	  0	  0	  4	 17	 29	 38	 47	 75
"26"	"Og_ERR2008923"	  0	  0	  0	  4	 16	 28	 38	 45	 72
"27"	"Og_ERR2008927"	  0	  0	  0	  5	 18	 31	 40	 49	 79
"28"	"Og_ERR2008934"	  0	  0	  0	  5	 19	 32	 41	 50	 80
"29"	"Og_ERR2008935"	  0	  0	  1	  7	 25	 41	 53	 65	105
"30"	"Og_ERR2008946"	  0	  0	  0	  4	 17	 29	 37	 44	 70
"31"	"Og_ERR2008953"	  0	  0	  0	  5	 20	 32	 41	 49	 79
"32"	"Og_ERR2008955"	  0	  0	  0	  6	 21	 34	 44	 53	 86
"33"	"Og_ERR2008959"	  0	  0	  0	  5	 21	 34	 44	 53	 85
"34"	"Og_ERR2008963"	  0	  0	  0	  5	 20	 33	 42	 51	 83
"35"	"Og_ERR2008974"	  0	  0	  1	  6	 21	 34	 44	 54	 86
"36"	"Og_ERR2008980"	  0	  0	  1	  7	 25	 40	 52	 64	102
"37"	"Og_ERR2008984"	  0	  0	  0	  5	 20	 32	 41	 50	 80
"38"	"Og_ERR2008998"	  0	  0	  1	  6	 24	 37	 47	 57	 91
"39"	"Og_ERR2008999"	  0	  0	  1	  7	 25	 39	 51	 63	102
"40"	"Og_ERR2009002"	  0	  0	  1	  6	 23	 38	 49	 61	 98
"41"	"Og_ERR2009006"	  0	  0	  0	  5	 19	 30	 39	 47	 76
"42"	"Og_ERR2009023"	  0	  0	  1	  8	 28	 43	 56	 70	112
"43"	"Og_ERR2009026"	  0	  0	  0	  5	 18	 28	 37	 44	 70
"44"	"Og_ERR2009027"	  0	  0	  0	  5	 20	 32	 41	 50	 80
"45"	"Og_ERR2009041"	  0	  0	  0	  3	 11	 19	 26	 31	 50
"46"	"Og_ERR2009051"	  0	  0	  1	  6	 23	 35	 45	 54	 85
"47"	"Og_ERR2009065"	  0	  0	  0	  3	 11	 19	 26	 31	 48
"48"	"Og_ERR2009075"	  0	  0	  0	  5	 19	 31	 40	 49	 78
