name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC
Oryza_barthii_pi.10.10000001.10100000.fasta	45978	1179	251.182	268.263	-0.235201	0.423498
Oryza_barthii_pi.10.1000001.1100000.fasta	59427	875	259.208	199.092	1.1144	0.414074
Oryza_barthii_pi.10.100001.200000.fasta	78597	2427	839.07	552.225	1.92145	0.428797
Oryza_barthii_pi.10.10100001.10200000.fasta	74708	1141	294.849	259.616	0.501276	0.419773
Oryza_barthii_pi.10.10200001.10300000.fasta	78406	1393	375.395	316.955	0.681395	0.424252
Oryza_barthii_pi.10.10300001.10400000.fasta	91549	1452	357.82	330.379	0.306976	0.40616
Oryza_barthii_pi.10.10400001.10500000.fasta	81108	1083	219.203	246.419	-0.407906	0.421963
Oryza_barthii_pi.10.10500001.10600000.fasta	88532	1589	346.516	361.551	-0.15373	0.421888
Oryza_barthii_pi.10.10600001.10700000.fasta	80399	1090	206.573	248.012	-0.617094	0.422567
Oryza_barthii_pi.10.10700001.10800000.fasta	61609	844	194.806	192.039	0.053171	0.418342
Oryza_barthii_pi.10.10800001.10900000.fasta	36068	0	0	0	-999	0.365296
Oryza_barthii_pi.10.10900001.11000000.fasta	71763	1198	350.075	272.586	1.05017	0.412294
Oryza_barthii_pi.10.11000001.11100000.fasta	89212	1121	179.326	255.066	-1.09678	0.429672
Oryza_barthii_pi.10.1.100000.fasta	73964	2207	802.247	502.167	2.21019	0.409514
Oryza_barthii_pi.10.1100001.1200000.fasta	78996	902	235.109	205.236	0.537253	0.407101
Oryza_barthii_pi.10.11100001.11200000.fasta	86219	1721	375.342	391.586	-0.153364	0.41728
Oryza_barthii_pi.10.11200001.11300000.fasta	91264	1103	212.34	250.97	-0.568492	0.399709
Oryza_barthii_pi.10.11300001.11400000.fasta	74425	643	142.701	146.304	-0.09077	0.414261
Oryza_barthii_pi.10.11400001.11500000.fasta	82622	902	192.36	205.236	-0.231566	0.431267
Oryza_barthii_pi.10.11500001.11600000.fasta	92189	1895	356.725	431.177	-0.6385	0.435333
Oryza_barthii_pi.10.11600001.11700000.fasta	82945	798	143.863	181.572	-0.766227	0.410141
Oryza_barthii_pi.10.11700001.11800000.fasta	76038	1190	332.738	270.765	0.845514	0.418688
Oryza_barthii_pi.10.11800001.11900000.fasta	86400	1930	528.234	439.141	0.750233	0.431387
Oryza_barthii_pi.10.11900001.12000000.fasta	76802	799	222.515	181.8	0.826267	0.398223
Oryza_barthii_pi.10.12000001.12100000.fasta	94623	1408	463.612	320.368	1.65242	0.407728
Oryza_barthii_pi.10.1200001.1300000.fasta	76164	1019	269.247	231.857	0.595472	0.405139
Oryza_barthii_pi.10.12100001.12200000.fasta	74233	1311	313.903	298.297	0.19331	0.413579
Oryza_barthii_pi.10.12200001.12300000.fasta	69772	1635	475.029	372.018	1.02364	0.434223
Oryza_barthii_pi.10.12300001.12400000.fasta	84251	2174	733.865	494.659	1.78854	0.432063
Oryza_barthii_pi.10.12400001.12500000.fasta	61938	1387	414.881	315.59	1.16269	0.438729
Oryza_barthii_pi.10.12500001.12600000.fasta	36155	640	207.452	145.622	1.56501	0.422998
Oryza_barthii_pi.10.12600001.12700000.fasta	39076	1098	331.147	249.832	1.20211	0.416655
Oryza_barthii_pi.10.12700001.12800000.fasta	70120	2442	796.016	555.638	1.60031	0.427664
Oryza_barthii_pi.10.12800001.12900000.fasta	71128	1325	332.677	301.483	0.382337	0.41528
Oryza_barthii_pi.10.12900001.13000000.fasta	88802	1484	377.339	337.66	0.434333	0.40155
Oryza_barthii_pi.10.13000001.13100000.fasta	93164	1263	330.973	287.375	0.560527	0.409105
Oryza_barthii_pi.10.1300001.1400000.fasta	33378	548	125.335	124.689	0.0190834	0.455422
Oryza_barthii_pi.10.13100001.13200000.fasta	87920	1279	273.121	291.016	-0.2272	0.451761
Oryza_barthii_pi.10.13200001.13300000.fasta	86300	1024	208.082	232.995	-0.394824	0.421185
Oryza_barthii_pi.10.13300001.13400000.fasta	86206	1130	212.967	257.113	-0.634201	0.428291
Oryza_barthii_pi.10.13400001.13500000.fasta	79433	1518	290.172	345.397	-0.590985	0.449102
Oryza_barthii_pi.10.13500001.13600000.fasta	84497	964	222.83	219.343	0.0586887	0.43025
Oryza_barthii_pi.10.13600001.13700000.fasta	87678	1452	342.969	330.379	0.140845	0.409509
Oryza_barthii_pi.10.13700001.13800000.fasta	94787	1383	304.188	314.679	-0.123205	0.39797
Oryza_barthii_pi.10.13800001.13900000.fasta	96293	663	154.283	150.855	0.0837819	0.403471
Oryza_barthii_pi.10.13900001.14000000.fasta	84134	849	194.922	193.176	0.0333417	0.404255
Oryza_barthii_pi.10.14000001.14100000.fasta	50041	548	143.631	124.689	0.559505	0.386637
Oryza_barthii_pi.10.1400001.1500000.fasta	70176	634	137.306	144.257	-0.177582	0.429372
Oryza_barthii_pi.10.14100001.14200000.fasta	75881	1020	341.098	232.085	1.73444	0.39388
Oryza_barthii_pi.10.14200001.14300000.fasta	91991	1385	422.292	315.135	1.25662	0.412451
Oryza_barthii_pi.10.14300001.14400000.fasta	66663	367	83.4086	83.505	-0.00423938	0.413602
Oryza_barthii_pi.10.14400001.14500000.fasta	94840	634	126.84	144.257	-0.444984	0.432836
Oryza_barthii_pi.10.14500001.14600000.fasta	96366	922	239.432	209.786	0.521635	0.415377
Oryza_barthii_pi.10.14600001.14700000.fasta	95551	1380	439.757	313.997	1.4801	0.420041
Oryza_barthii_pi.10.14700001.14800000.fasta	90298	1070	305.295	243.461	0.937955	0.416644
Oryza_barthii_pi.10.14800001.14900000.fasta	60693	897	256.513	204.098	0.947894	0.418309
Oryza_barthii_pi.10.14900001.15000000.fasta	79013	515	112.025	117.18	-0.161969	0.418398
Oryza_barthii_pi.10.15000001.15100000.fasta	55649	601	139.376	136.748	0.0708239	0.462187
Oryza_barthii_pi.10.1500001.1600000.fasta	90656	1803	580.145	410.244	1.53129	0.416809
Oryza_barthii_pi.10.15100001.15200000.fasta	63338	759	180.355	172.698	0.163534	0.448146
Oryza_barthii_pi.10.15200001.15300000.fasta	70685	662	127.923	150.627	-0.555663	0.463144
Oryza_barthii_pi.10.15300001.15400000.fasta	77384	685	174.598	155.861	0.443253	0.429218
Oryza_barthii_pi.10.15400001.15500000.fasta	87709	864	225.465	196.589	0.542069	0.440483
Oryza_barthii_pi.10.15500001.15600000.fasta	75536	1285	320.27	292.381	0.352432	0.450119
Oryza_barthii_pi.10.15600001.15700000.fasta	96186	575	139.954	130.832	0.256835	0.428839
Oryza_barthii_pi.10.15700001.15800000.fasta	80155	662	149.952	150.627	-0.0165235	0.433577
Oryza_barthii_pi.10.15800001.15900000.fasta	93080	1011	202.596	230.037	-0.440462	0.448562
Oryza_barthii_pi.10.15900001.16000000.fasta	71799	537	116.176	122.186	-0.181109	0.4129
Oryza_barthii_pi.10.16000001.16100000.fasta	87434	880	214.697	200.23	0.266664	0.434633
Oryza_barthii_pi.10.1600001.1700000.fasta	55110	780	208.322	177.476	0.641171	0.389874
Oryza_barthii_pi.10.16100001.16200000.fasta	92029	663	150.881	150.855	0.000634	0.418588
Oryza_barthii_pi.10.16200001.16300000.fasta	65218	438	115.136	99.6599	0.571109	0.411636
Oryza_barthii_pi.10.16300001.16400000.fasta	72847	1090	370.036	248.012	1.81713	0.406323
Oryza_barthii_pi.10.16400001.16500000.fasta	54843	532	131.893	121.048	0.329898	0.417051
