name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC
Oryza_glaberrima_pi.10.10000001.10100000.fasta	45969	613	173.314	136.855	0.971994	0.42485
Oryza_glaberrima_pi.10.1000001.1100000.fasta	59586	769	243.176	171.682	1.52094	0.413912
Oryza_glaberrima_pi.10.100001.200000.fasta	79166	2723	564.191	607.92	-0.263513	0.431617
Oryza_glaberrima_pi.10.10100001.10200000.fasta	75260	900	266.329	200.928	1.18952	0.42101
Oryza_glaberrima_pi.10.10200001.10300000.fasta	70933	1096	282.761	244.686	0.56903	0.425011
Oryza_glaberrima_pi.10.10300001.10400000.fasta	91639	1098	294.549	245.133	0.737191	0.407055
Oryza_glaberrima_pi.10.10400001.10500000.fasta	81572	775	158.976	173.022	-0.296495	0.423104
Oryza_glaberrima_pi.10.10500001.10600000.fasta	88391	971	224.062	216.78	0.122807	0.422167
Oryza_glaberrima_pi.10.10600001.10700000.fasta	79154	585	110.691	130.604	-0.556118	0.422773
Oryza_glaberrima_pi.10.10700001.10800000.fasta	60441	591	140.144	131.943	0.226726	0.418386
Oryza_glaberrima_pi.10.10800001.10900000.fasta	30933	0	0	0	-999	0.366075
Oryza_glaberrima_pi.10.10900001.11000000.fasta	66333	397	76.505	88.6318	-0.497787	0.413697
Oryza_glaberrima_pi.10.11000001.11100000.fasta	89424	479	79.2497	106.939	-0.943305	0.429909
Oryza_glaberrima_pi.10.1.100000.fasta	73557	2341	386.529	522.637	-0.953835	0.409565
Oryza_glaberrima_pi.10.1100001.1200000.fasta	78699	778	167.415	173.692	-0.131983	0.408152
Oryza_glaberrima_pi.10.11100001.11200000.fasta	86046	955	191.027	213.207	-0.380276	0.417705
Oryza_glaberrima_pi.10.11200001.11300000.fasta	91111	531	93.2555	118.548	-0.777783	0.401098
Oryza_glaberrima_pi.10.11300001.11400000.fasta	74624	492	115.155	109.841	0.176288	0.415812
Oryza_glaberrima_pi.10.11400001.11500000.fasta	82692	527	103.134	117.655	-0.449896	0.432499
Oryza_glaberrima_pi.10.11500001.11600000.fasta	90427	726	136.097	162.082	-0.585417	0.437165
Oryza_glaberrima_pi.10.11600001.11700000.fasta	82982	1036	172.772	231.291	-0.925078	0.410783
Oryza_glaberrima_pi.10.11700001.11800000.fasta	75765	1078	295.559	240.668	0.834013	0.419411
Oryza_glaberrima_pi.10.11800001.11900000.fasta	84864	1355	431.069	302.509	1.55497	0.433568
Oryza_glaberrima_pi.10.11900001.12000000.fasta	73842	570	97.2384	127.255	-0.860252	0.400593
Oryza_glaberrima_pi.10.12000001.12100000.fasta	94859	943	360.038	210.528	2.59576	0.408886
Oryza_glaberrima_pi.10.1200001.1300000.fasta	76427	905	189.458	202.045	-0.227681	0.406567
Oryza_glaberrima_pi.10.12100001.12200000.fasta	74017	1070	366.502	238.882	1.95353	0.414618
Oryza_glaberrima_pi.10.12200001.12300000.fasta	70610	1347	462.058	300.723	1.96295	0.43493
Oryza_glaberrima_pi.10.12300001.12400000.fasta	85062	1996	737.59	445.615	2.39923	0.433747
Oryza_glaberrima_pi.10.12400001.12500000.fasta	62483	1338	399.475	298.714	1.23418	0.438407
Oryza_glaberrima_pi.10.12500001.12600000.fasta	36237	593	175.718	132.39	1.19388	0.423191
Oryza_glaberrima_pi.10.12600001.12700000.fasta	39028	1005	318.858	224.37	1.53959	0.421512
Oryza_glaberrima_pi.10.12700001.12800000.fasta	69877	2254	775.888	503.214	1.98452	0.428948
Oryza_glaberrima_pi.10.12800001.12900000.fasta	70645	859	260.188	191.775	1.30349	0.417545
Oryza_glaberrima_pi.10.12900001.13000000.fasta	88596	1013	285.619	226.156	0.961273	0.400898
Oryza_glaberrima_pi.10.13000001.13100000.fasta	92943	562	142.874	125.469	0.505885	0.409525
Oryza_glaberrima_pi.10.1300001.1400000.fasta	33420	534	103.265	119.218	-0.487842	0.457237
Oryza_glaberrima_pi.10.13100001.13200000.fasta	87829	588	111.841	131.273	-0.539949	0.453299
Oryza_glaberrima_pi.10.13200001.13300000.fasta	86404	549	144.486	122.566	0.652099	0.422469
Oryza_glaberrima_pi.10.13300001.13400000.fasta	86203	401	67.6877	89.5248	-0.887508	0.429571
Oryza_glaberrima_pi.10.13400001.13500000.fasta	79091	767	165.647	171.236	-0.119192	0.449139
Oryza_glaberrima_pi.10.13500001.13600000.fasta	84580	633	143.709	141.32	0.0616947	0.430046
Oryza_glaberrima_pi.10.13600001.13700000.fasta	87782	632	116.437	141.096	-0.637736	0.410485
Oryza_glaberrima_pi.10.13700001.13800000.fasta	94577	673	95.5504	150.25	-1.32887	0.399142
Oryza_glaberrima_pi.10.13800001.13900000.fasta	96328	285	40.0211	63.6274	-1.34558	0.40427
Oryza_glaberrima_pi.10.13900001.14000000.fasta	83907	345	94.1326	77.0226	0.807224	0.407612
Oryza_glaberrima_pi.10.14000001.14100000.fasta	49500	283	69.6592	63.1808	0.371854	0.386468
Oryza_glaberrima_pi.10.1400001.1500000.fasta	70062	605	113.254	135.069	-0.58921	0.430321
Oryza_glaberrima_pi.10.14100001.14200000.fasta	75233	880	237.316	196.463	0.759868	0.392896
Oryza_glaberrima_pi.10.14200001.14300000.fasta	90745	999	298.708	223.031	1.24047	0.412919
Oryza_glaberrima_pi.10.14300001.14400000.fasta	66304	217	39.9779	48.4461	-0.631763	0.415081
Oryza_glaberrima_pi.10.14400001.14500000.fasta	94947	372	62.1888	83.0504	-0.913394	0.434549
Oryza_glaberrima_pi.10.14500001.14600000.fasta	95344	541	99.5761	120.78	-0.640086	0.415266
Oryza_glaberrima_pi.10.14600001.14700000.fasta	95261	981	270.459	219.012	0.858719	0.421033
Oryza_glaberrima_pi.10.14700001.14800000.fasta	90163	540	122.384	120.557	0.0552415	0.417056
Oryza_glaberrima_pi.10.14800001.14900000.fasta	59051	624	195.945	139.31	1.48337	0.420899
Oryza_glaberrima_pi.10.14900001.15000000.fasta	79078	234	50.8527	52.2414	-0.0961808	0.418769
Oryza_glaberrima_pi.10.15000001.15100000.fasta	55176	403	95.0322	89.9713	0.204671	0.463972
Oryza_glaberrima_pi.10.1500001.1600000.fasta	90828	1613	492.169	360.109	1.34233	0.420727
Oryza_glaberrima_pi.10.15100001.15200000.fasta	63303	562	130.633	125.469	0.150106	0.450155
Oryza_glaberrima_pi.10.15200001.15300000.fasta	68495	358	65.4699	79.9249	-0.65742	0.46559
Oryza_glaberrima_pi.10.15300001.15400000.fasta	77613	427	105.138	95.3294	0.374555	0.429858
Oryza_glaberrima_pi.10.15400001.15500000.fasta	87822	623	125.866	139.087	-0.346852	0.442102
Oryza_glaberrima_pi.10.15500001.15600000.fasta	75597	830	193.325	185.301	0.158206	0.451277
Oryza_glaberrima_pi.10.15600001.15700000.fasta	96224	575	108.762	128.371	-0.557137	0.429627
Oryza_glaberrima_pi.10.15700001.15800000.fasta	80213	564	150.562	125.915	0.713835	0.43577
Oryza_glaberrima_pi.10.15800001.15900000.fasta	93002	712	190.94	158.957	0.734625	0.450497
Oryza_glaberrima_pi.10.15900001.16000000.fasta	71866	357	53.1958	79.7016	-1.20884	0.41314
Oryza_glaberrima_pi.10.16000001.16100000.fasta	87497	431	78.1531	96.2224	-0.683635	0.435291
