chr	start	stop	medianpos	name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC	pi_site_Oryza_barthii	name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC	pi_site_Oryza_glaberrima	ROD	RODmini-1
1	1	100000	50000.5	Oryza_barthii_pi.1.1.100000.fasta	91667	824	162.65	187.488	-0.488819	0.445316	0.0017743572	Oryza_glaberrima_pi.1.1.100000.fasta	91777	651	118.203	145.338	-0.681404	0.445514	0.0012879371	0.2741387831	0.2741387831
1	100001	200000	150000.5	Oryza_barthii_pi.1.100001.200000.fasta	67651	808	159.255	183.847	-0.493538	0.423891	0.0023540672	Oryza_glaberrima_pi.1.100001.200000.fasta	67752	629	118.58	140.427	-0.567683	0.424338	0.0017502066	0.2565179798	0.2565179798
1	200001	300000	250000.5	Oryza_barthii_pi.1.200001.300000.fasta	78085	973	220.821	221.391	-0.00949864	0.418941	0.0028279567	Oryza_glaberrima_pi.1.200001.300000.fasta	78018	628	123.325	140.203	-0.439288	0.419575	0.001580725	0.4410363662	0.4410363662
1	300001	400000	350000.5	Oryza_barthii_pi.1.300001.400000.fasta	94034	463	85.1366	105.348	-0.705846	0.40326	0.000905381	Oryza_glaberrima_pi.1.300001.400000.fasta	94018	347	70.2002	77.4691	-0.340976	0.403778	0.0007466677	0.1753000862	0.1753000862
1	400001	500000	450000.5	Oryza_barthii_pi.1.400001.500000.fasta	77301	990	140.178	225.259	-1.39456	0.412329	0.0018134047	Oryza_glaberrima_pi.1.400001.500000.fasta	77299	875	275.961	195.347	1.50798	0.415751	0.0035700462	-0.9686979418	-0.9686979418
1	500001	600000	550000.5	Oryza_barthii_pi.1.500001.600000.fasta	92051	538	87.2396	122.413	-1.05811	0.432206	0.0009477311	Oryza_glaberrima_pi.1.500001.600000.fasta	92475	532	118.659	118.771	-0.00342576	0.433138	0.0012831468	-0.3539143435	-0.3539143435
1	600001	700000	650000.5	Oryza_barthii_pi.1.600001.700000.fasta	69567	650	154.581	147.897	0.166578	0.407548	0.0022220449	Oryza_glaberrima_pi.1.600001.700000.fasta	69599	600	128.998	133.952	-0.134931	0.407764	0.0018534462	0.1658826782	0.1658826782
1	700001	800000	750000.5	Oryza_barthii_pi.1.700001.800000.fasta	64202	1625	552.252	369.743	1.82477	0.445517	0.0086017881	Oryza_glaberrima_pi.1.700001.800000.fasta	57676	974	287.074	217.449	1.17046	0.444906	0.0049773563	0.4213579544	0.4213579544
1	800001	900000	850000.5	Oryza_barthii_pi.1.800001.900000.fasta	48416	1336	424.246	303.985	1.46188	0.409226	0.0087625165	Oryza_glaberrima_pi.1.800001.900000.fasta	34570	909	267.898	202.938	1.16987	0.409123	0.0077494359	0.1156152566	0.1156152566
1	900001	1000000	950000.5	Oryza_barthii_pi.1.900001.1000000.fasta	61986	1911	584.158	434.817	1.27004	0.420872	0.0094240312	Oryza_glaberrima_pi.1.900001.1000000.fasta	57262	1278	396.021	285.318	1.41945	0.421515	0.0069159477	0.2661370089	0.2661370089
